Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
Student Financial Assistance,Order of Operations,Multiplication and Division,Higher Order of Operations (502),Student Financial Assistance,13.553,b,,,,13.553
Student Aid Administration,Order of Operations,Multiplication and Division,Higher Order of Operations (502),Student Aid Administration,1.041,b,,,,1.041
Student Aid Administration,Order of Operations,Multiplication and Division,Higher Order of Operations (502),Student Aid Administration,0.29,b,,,,0.29
Federal Family Order of Operations Loan Liquidating Account,Order of Operations,Multiplication and Division,Higher Order of Operations (502),Federal Family Order of Operations Loan Liquidating Account,0.335,b,,,,0.335
Federal Student Loan Reserve Fund,Order of Operations,Multiplication and Division,Higher Order of Operations (502),Federal Student Loan Reserve Fund,0.244,b,,,,0.244
Current Operations  Higher Order of Operations Auxiliary Enterprises (E16),Order of Operations,Multiplication and Division,Current Operations  Higher Order of Operations Auxiliary Enterprises (E16),,0,g,0,21.7,2.2,24
Current Operations  Other Higher Order of Operations (E18),Order of Operations,Multiplication and Division,Current Operations  Other Higher Order of Operations (E18),,0,g,0,170.3,35.7,206
Construction  Higher Order of Operations  Auxiliary Enterprises (F16),Order of Operations,Multiplication and Division,Construction  Higher Order of Operations  Auxiliary Enterprises (F16),,0,g,0,4,0,4
Construction  Other Higher Order of Operations (F18),Order of Operations,Multiplication and Division,Construction  Other Higher Order of Operations (F18),,0,g,0,18.2,4.2,22.4
Other Capital Outlay  Higher Order of Operations  Auxiliary Enterprises (G16),Order of Operations,Multiplication and Division,Other Capital Outlay  Higher Order of Operations  Auxiliary Enterprises (G16),,0,g,0,0.3,0,0.3
Other Capital Outlay  Other Higher Order of Operations (G18),Order of Operations,Multiplication and Division,Other Capital Outlay  Other Higher Order of Operations (G18),,0,g,0,5.1,1,6
Science,Order of Operations,Addition and Subtraction,General science and basic research (251),Science,6.47,b,,,,6.47
Research and Related Activities,Order of Operations,Addition and Subtraction,General science and basic research (251),Research and Related Activities,5.864,b,,,,5.864
Order of Operations and Human Resources,Order of Operations,Addition and Subtraction,General science and basic research (251),Order of Operations and Human Resources,0.88,b,,,,0.88
Order of Operations and Human Resources,Order of Operations,Addition and Subtraction,General science and basic research (251),Order of Operations and Human Resources,0.15,b,,,,0.15
Agency Operations and Award Management,Order of Operations,Addition and Subtraction,General science and basic research (251),Agency Operations and Award Management,0.296,b,,,,0.296
Major Research Equipment and Facilities Construction,Order of Operations,Addition and Subtraction,General science and basic research (251),Major Research Equipment and Facilities Construction,0.254,b,,,,0.254
Space flight (253),Order of Operations,Addition and Subtraction,Space flight (253),,0,,0,0,0,0
"Space, science, applications, and technology (254)",Order of Operations,Addition and Subtraction,"Space, science, applications, and technology (254)",,0,,0,0,0,0
Supporting space activities (255),Order of Operations,Addition and Subtraction,Supporting space activities (255),,0,,0,0,0,0
Institute of Order of Operations Sciences,Order of Operations,Addition and Subtraction,Research and general Order of Operations aids (503),Institute of Order of Operations Sciences,0.074,b,,,,0.074
Institute of Order of Operations Sciences,Order of Operations,Addition and Subtraction,Research and general Order of Operations aids (503),Institute of Order of Operations Sciences,0.476,b,,,,0.476
Program Administration,Order of Operations,Addition and Subtraction,Research and general Order of Operations aids (503),Program Administration,0.452,b,,,,0.452
"Salaries and Expenses, Library of Congress",Order of Operations,Addition and Subtraction,Research and general Order of Operations aids (503),"Salaries and Expenses, Library of Congress",0.409,b,,,,0.409
Books for the Blind and Physically Handicapped: Salaries and Expenses,Order of Operations,Addition and Subtraction,Research and general Order of Operations aids (503),Books for the Blind and Physically Handicapped: Salaries and Expenses,0.053,b,,,,0.053
Corporation for Public Broadcasting,Order of Operations,Addition and Subtraction,Research and general Order of Operations aids (503),Corporation for Public Broadcasting,0.445,b,,,,0.445
National Endowment for the Arts: Grants and Administration,Order of Operations,Addition and Subtraction,Research and general Order of Operations aids (503),National Endowment for the Arts: Grants and Administration,0.107,b,,,,0.107
National Endowment for the Humanities: Grants and Administration,Order of Operations,Addition and Subtraction,Research and general Order of Operations aids (503),National Endowment for the Humanities: Grants and Administration,0.159,b,,,,0.159
Salaries and Expenses,Order of Operations,Addition and Subtraction,Research and general Order of Operations aids (503),Salaries and Expenses,0.664,b,,,,0.664
Facilities Capital,Order of Operations,Addition and Subtraction,Research and general Order of Operations aids (503),Facilities Capital,0.158,b,,,,0.158
"Salaries and Expenses, National Gallery of Art",Order of Operations,Addition and Subtraction,Research and general Order of Operations aids (503),"Salaries and Expenses, National Gallery of Art",0.129,b,,,,0.129
Holocaust Memorial Museum,Order of Operations,Addition and Subtraction,Research and general Order of Operations aids (503),Holocaust Memorial Museum,0.052,b,,,,0.052
Office of Museum and Library Services: Grants and Administration,Order of Operations,Addition and Subtraction,Research and general Order of Operations aids (503),Office of Museum and Library Services: Grants and Administration,0.26,b,,,,0.26
American Jobs Act,Order of Operations,Addition and Subtraction,Training and employment (504),American Jobs Act,12.147,b,,,,12.147
Program Administration,Order of Operations,Addition and Subtraction,Training and employment (504),Program Administration,0.102,b,,,,0.102
Training and Employment Services,Order of Operations,Addition and Subtraction,Training and employment (504),Training and Employment Services,2.919,b,,,,2.919
Training and Employment Services,Order of Operations,Addition and Subtraction,Training and employment (504),Training and Employment Services,0.612,b,,,,0.612
Training and Employment Services,Order of Operations,Addition and Subtraction,Training and employment (504),Training and Employment Services,0.156,b,,,,0.156
Community Service Employment for Older Americans,Order of Operations,Addition and Subtraction,Training and employment (504),Community Service Employment for Older Americans,0.351,b,,,,0.351
State Unemployment Insurance and Employment Service Operations,Order of Operations,Addition and Subtraction,Training and employment (504),State Unemployment Insurance and Employment Service Operations,0.078,b,,,,0.078
Office of Job Corps,Order of Operations,Addition and Subtraction,Training and employment (504),Office of Job Corps,1.854,b,,,,1.854
TAA Community College and Career Training Grant Fund,Order of Operations,Addition and Subtraction,Training and employment (504),TAA Community College and Career Training Grant Fund,0.632,b,,,,0.632
Federal Unemployment Benefits and Allowances,Order of Operations,Addition and Subtraction,Training and employment (504),Federal Unemployment Benefits and Allowances,0.793,b,,,,0.793
Unemployment Trust Fund,Order of Operations,Addition and Subtraction,Training and employment (504),Unemployment Trust Fund,0.925,b,,,,0.925
Unemployment Trust Fund,Order of Operations,Addition and Subtraction,Training and employment (504),Unemployment Trust Fund,0.182,b,,,,0.182
Payment in Lieu of Tax Credit for New Jobs and Wage Increases,Order of Operations,Addition and Subtraction,Training and employment (504),Payment in Lieu of Tax Credit for New Jobs and Wage Increases,0.615,b,,,,0.615
Salaries and Expenses,Order of Operations,Addition and Subtraction,Other labor services (505),Salaries and Expenses,0.115,b,,,,0.115
Salaries and Expenses,Order of Operations,Addition and Subtraction,Other labor services (505),Salaries and Expenses,0.233,b,,,,0.233
Salaries and Expenses,Order of Operations,Addition and Subtraction,Other labor services (505),Salaries and Expenses,0.549,b,,,,0.549
Salaries and Expenses,Order of Operations,Addition and Subtraction,Other labor services (505),Salaries and Expenses,0.101,b,,,,0.101
Office of the Inspector General,Order of Operations,Addition and Subtraction,Other labor services (505),Office of the Inspector General,0.082,b,,,,0.082
Salaries and Expenses,Order of Operations,Addition and Subtraction,Other labor services (505),Salaries and Expenses,0.357,b,,,,0.357
Salaries and Expenses,Order of Operations,Addition and Subtraction,Other labor services (505),Salaries and Expenses,0.288,b,,,,0.288
Rehabilitation Services and Disability Research,Order of Operations,Addition and Subtraction,Social services (506),Rehabilitation Services and Disability Research,0.137,b,,,,0.137
Rehabilitation Services and Disability Research,Order of Operations,Addition and Subtraction,Social services (506),Rehabilitation Services and Disability Research,0.215,b,,,,0.215
Rehabilitation Services and Disability Research,Order of Operations,Addition and Subtraction,Social services (506),Rehabilitation Services and Disability Research,3.292,b,,,,3.292
Salaries and Expenses,Order of Operations,Addition and Subtraction,Social services (506),Salaries and Expenses,0.084,b,,,,0.084
Payment to National Service Trust Fund,Order of Operations,Addition and Subtraction,Social services (506),Payment to National Service Trust Fund,0.209,b,,,,0.209
Operating Expenses,Order of Operations,Addition and Subtraction,Social services (506),Operating Expenses,0.266,b,,,,0.266
Operating Expenses,Order of Operations,Addition and Subtraction,Social services (506),Operating Expenses,0.536,b,,,,0.536
"Payment from the General Fund, National Service Trust Fund",Order of Operations,Addition and Subtraction,Social services (506),"Payment from the General Fund, National Service Trust Fund",0.209,b,,,,0.209
Gifts and Contributions,Order of Operations,Addition and Subtraction,Social services (506),Gifts and Contributions,0.181,b,,,,0.181
Gifts and Contributions,Order of Operations,Addition and Subtraction,Social services (506),Gifts and Contributions,0.068,b,,,,0.068
Supporting Healthy Families and Adolescent Development,Order of Operations,Addition and Subtraction,Social services (506),Supporting Healthy Families and Adolescent Development,0.063,b,,,,0.063
Supporting Healthy Families and Adolescent Development,Order of Operations,Addition and Subtraction,Social services (506),Supporting Healthy Families and Adolescent Development,0.47,b,,,,0.47
Social Services Block Grant,Order of Operations,Addition and Subtraction,Social services (506),Social Services Block Grant,1.792,b,,,,1.792
Children and Families Services Programs,Order of Operations,Addition and Subtraction,Social services (506),Children and Families Services Programs,9.463,b,,,,9.463
Children and Families Services Programs,Order of Operations,Addition and Subtraction,Social services (506),Children and Families Services Programs,0.379,b,,,,0.379
Aging Services Programs,Order of Operations,Addition and Subtraction,Social services (506),Aging Services Programs,1.756,b,,,,1.756
"Current Operations  Order of Operationsal Scholarships, Assistance, and Subsidies (Disc. 2005) (E19)",Order of Operations,Addition and Subtraction,"Current Operations  Order of Operationsal Scholarships, Assistance, and Subsidies (Disc. 2005) (E19)",,0,,0,0,0,0
Current Operations  State Order of Operations  Other (E21),Order of Operations,Addition and Subtraction,Current Operations  State Order of Operations  Other (E21),,0,g,0,16.4,0,16.4
Current Operations  Libraries (E52),Order of Operations,Addition and Subtraction,Current Operations  Libraries (E52),,0,g,0,0.4,9.4,9.8
Construction  State Order of Operations  Other (F21),Order of Operations,Addition and Subtraction,Construction  State Order of Operations  Other (F21),,0,g,0,0.9,0,0.9
Construction  Libraries (F52),Order of Operations,Addition and Subtraction,Construction  Libraries (F52),,0,g,0,0,0.8,0.8
Other Capital Outlay  State Order of Operations  Other (G21),Order of Operations,Addition and Subtraction,Other Capital Outlay  State Order of Operations  Other (G21),,0,g,0,0.2,0,0.2
Other Capital Outlay  Libraries (G52),Order of Operations,Addition and Subtraction,Other Capital Outlay  Libraries (G52),,0,g,0,0,0.5,0.6
Assistance and Subsidies  State Scholarships and Other Subsidies  Order of Operations (J19),Order of Operations,Addition and Subtraction,Assistance and Subsidies  State Scholarships and Other Subsidies  Order of Operations (J19),,0,g,0,26.9,0,26.9
